Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
34,Keita Bates-Diop\bateske01,SF,23,MIN,8,0,61,7,17,.412,1,8,.125,6,9,.667,.441,2,5,.400,2,12,14,2,1,3,1,3,17
35,Nicolas Batum\batumni01,SF,30,CHO,60,60,1890,209,455,.459,92,234,.393,117,221,.529,.560,67,78,.859,55,259,314,203,59,33,96,110,577
36,Jerryd Bayless\bayleje01,PG,30,MIN,20,6,417,47,144,.326,23,71,.324,24,73,.329,.406,7,12,.583,7,31,38,75,11,1,19,35,124
37,Aron Baynes\baynear01,C,32,BOS,34,10,507,69,148,.466,16,48,.333,53,100,.530,.520,39,46,.848,60,87,147,38,6,22,28,82,193
38,Kent Bazemore\bazemke01,SG,29,ATL,47,33,1219,227,515,.441,70,213,.329,157,302,.520,.509,98,135,.726,24,157,181,110,74,38,96,126,622
39,Bradley Beal\bealbr01,SG,25,WAS,60,60,2241,563,1181,.477,152,434,.350,411,747,.550,.541,261,316,.826,68,235,303,324,84,45,170,180,1539
40,Malik Beasley\beaslma01,SG,22,DEN,60,17,1448,272,541,.503,126,288,.438,146,253,.577,.619,41,46,.891,26,126,152,75,40,6,38,97,711
41,Michael Beasley\beaslmi01,PF,30,LAL,26,2,277,75,153,.490,3,17,.176,72,136,.529,.500,28,39,.718,13,47,60,25,9,10,27,42,181
42,Marco Belinelli\belinma01,SG,32,SAS,60,1,1372,220,529,.416,118,308,.383,102,221,.462,.527,97,106,.915,13,132,145,112,28,8,54,93,655
43,Jordan Bell\belljo01,C,24,GSW,49,2,548,67,127,.528,0,1,.000,67,126,.532,.528,14,21,.667,39,89,128,56,18,38,24,61,148
44,DeAndre' Bembry\bembrde01,SG,24,ATL,61,15,1471,194,449,.432,38,131,.290,156,318,.491,.474,58,97,.598,33,220,253,152,74,33,106,145,484
45,Dragan Bender\bendedr01,PF,21,PHO,26,7,327,35,88,.398,8,49,.163,27,39,.692,.443,17,26,.654,16,60,76,21,5,3,18,30,95
46,Davis Bertans\bertada01,PF,26,SAS,56,12,1212,155,325,.477,113,240,.471,42,85,.494,.651,39,44,.886,20,175,195,69,29,28,33,96,462
47,Patrick Beverley\beverpa01,PG,30,LAC,62,33,1676,144,362,.398,82,214,.383,62,148,.419,.511,85,110,.773,54,245,299,224,49,35,66,216,455
48,Khem Birch\birchkh01,C,26,ORL,30,0,341,40,68,.588,0,1,.000,40,67,.597,.588,26,32,.813,34,67,101,21,11,20,11,35,106
49,Bismack Biyombo\biyombi01,C,26,CHO,34,17,499,54,94,.574,0,0,,54,94,.574,.574,42,62,.677,48,110,158,19,8,34,18,65,150
50,Nemanja Bjelica\bjeline01,PF,30,SAC,57,55,1316,212,439,.483,82,194,.423,130,245,.531,.576,52,68,.765,93,233,326,109,42,45,71,145,558
51,Antonio Blakeney\blakean01,SG,22,CHI,43,0,596,123,291,.423,33,72,.458,90,219,.411,.479,39,57,.684,6,61,67,24,10,8,25,26,318
52,Eric Bledsoe\bledser01,PG,29,MIL,59,59,1717,350,714,.490,89,282,.316,261,432,.604,.553,126,165,.764,59,207,266,315,85,22,123,124,915
53,Jaron Blossomgame\blossja01,SF,25,CLE,27,4,439,47,106,.443,10,39,.256,37,67,.552,.491,10,13,.769,26,72,98,13,7,8,11,20,114
54,Bogdan Bogdanovic\bogdabo01,SG,26,SAC,48,11,1343,260,614,.423,86,262,.328,174,352,.494,.493,98,120,.817,22,153,175,193,53,10,86,98,704
55,Bojan Bogdanovic\bogdabo02,SF,29,IND,61,61,1936,374,755,.495,121,285,.425,253,470,.538,.575,168,206,.816,28,216,244,112,50,0,97,108,1037
56,Jonah Bolden\boldejo01,PF,23,PHI,31,4,394,48,98,.490,17,55,.309,31,43,.721,.577,8,18,.444,28,82,110,21,9,28,27,66,121
57,Isaac Bonga\bongais01,PG,19,LAL,8,0,31,2,10,.200,0,2,.000,2,8,.250,.200,4,7,.571,3,3,6,6,3,0,2,3,8
58,Devin Booker\bookede01,SG,22,PHO,47,47,1635,405,887,.457,99,304,.326,306,583,.525,.512,248,291,.852,27,159,186,317,40,9,186,155,1157
59,Chris Boucher\bouchch01,PF,26,TOR,19,0,100,23,52,.442,10,27,.370,13,25,.520,.538,11,13,.846,12,18,30,0,3,18,2,18,67
60,Avery Bradley\bradlav01,SG,28,TOT,55,55,1640,199,496,.401,68,196,.347,131,300,.437,.470,26,32,.813,37,112,149,115,33,16,74,150,492
60,Avery Bradley\bradlav01,SG,28,LAC,49,49,1463,161,420,.383,58,172,.337,103,248,.415,.452,20,25,.800,35,96,131,96,27,16,61,133,400
60,Avery Bradley\bradlav01,SG,28,MEM,6,6,177,38,76,.500,10,24,.417,28,52,.538,.566,6,7,.857,2,16,18,19,6,0,13,17,92
61,Tony Bradley\bradlto01,C,21,UTA,1,0,9,0,3,.000,0,0,,0,3,.000,.000,0,0,,2,1,3,0,0,0,1,1,0
62,Corey Brewer\breweco01,SF,32,TOT,9,3,169,27,64,.422,8,23,.348,19,41,.463,.484,14,19,.737,4,15,19,11,12,2,9,23,76
62,Corey Brewer\breweco01,SF,32,PHI,7,3,140,20,49,.408,4,14,.286,16,35,.457,.449,9,13,.692,4,13,17,10,12,2,8,16,53
62,Corey Brewer\breweco01,SF,32,SAC,2,0,29,7,15,.467,4,9,.444,3,6,.500,.600,5,6,.833,0,2,2,1,0,0,1,7,23
63,Mikal Bridges\bridgmi01,SF,22,PHO,62,45,1735,178,416,.428,84,243,.346,94,173,.543,.529,60,77,.779,41,149,190,121,97,30,53,151,500
64,Miles Bridges\bridgmi02,SF,20,CHO,58,3,1109,148,331,.447,40,129,.310,108,202,.535,.508,46,62,.742,39,167,206,54,33,36,39,78,382
65,Isaiah Briscoe\briscis01,PG,22,ORL,35,0,475,45,114,.395,10,28,.357,35,86,.407,.439,13,24,.542,2,60,62,78,8,1,25,55,113
66,Ryan Broekhoff\broekry01,SG,28,DAL,28,0,222,29,65,.446,20,51,.392,9,14,.643,.600,2,2,1.000,3,25,28,15,2,3,5,15,80
67,Malcolm Brogdon\brogdma01,SG,26,MIL,56,56,1638,335,667,.502,89,213,.418,246,454,.542,.569,129,138,.935,58,207,265,188,41,12,84,89,888
68,Dillon Brooks\brookdi01,SF,23,MEM,18,0,330,49,122,.402,15,40,.375,34,82,.415,.463,22,30,.733,9,22,31,16,10,4,19,50,135
69,MarShon Brooks\brookma01,SG,30,MEM,29,0,387,76,169,.450,15,54,.278,61,115,.530,.494,23,33,.697,12,33,45,25,9,4,21,33,190
70,Bruce Brown\brownbr01,SG,22,DET,52,34,1045,96,249,.386,20,75,.267,76,174,.437,.426,33,48,.688,37,105,142,67,23,25,37,135,245
71,Jaylen Brown\brownja02,SG,22,BOS,56,23,1444,272,602,.452,67,207,.324,205,395,.519,.507,102,150,.680,53,190,243,78,56,27,78,149,713
72,Lorenzo Brown\brownlo01,PG,28,TOR,26,0,212,23,71,.324,6,28,.214,17,43,.395,.366,3,3,1.000,5,26,31,28,12,5,16,22,55
73,Sterling Brown\brownst02,SG,23,MIL,48,0,769,97,213,.455,40,111,.360,57,102,.559,.549,18,25,.720,24,110,134,60,19,5,32,65,252
74,Troy Brown\browntr01,SF,19,WAS,30,0,212,26,66,.394,4,16,.250,22,50,.440,.424,14,21,.667,5,34,39,29,8,1,8,17,70
75,Jalen Brunson\brunsja01,PG,22,DAL,52,18,963,146,334,.437,37,102,.363,109,232,.470,.493,45,65,.692,15,93,108,129,24,3,54,77,374
76,Thomas Bryant\bryanth01,C,21,WAS,50,43,964,202,318,.635,21,53,.396,181,265,.683,.668,64,80,.800,74,220,294,61,18,42,38,78,489
77,Reggie Bullock\bullore01,SG,27,TOT,49,49,1520,200,482,.415,127,323,.393,73,159,.459,.547,61,70,.871,21,116,137,120,29,9,58,89,588
77,Reggie Bullock\bullore01,SG,27,DET,44,44,1355,182,441,.413,114,294,.388,68,147,.463,.542,56,64,.875,20,103,123,109,24,5,54,79,534
77,Reggie Bullock\bullore01,SG,27,LAL,5,5,165,18,41,.439,13,29,.448,5,12,.417,.598,5,6,.833,1,13,14,11,5,4,4,10,54
78,Trey Burke\burketr01,PG,26,TOT,41,7,809,171,410,.417,37,104,.356,134,306,.438,.462,74,89,.831,21,57,78,109,28,5,37,41,453
78,Trey Burke\burketr01,PG,26,NYK,33,7,689,148,358,.413,30,86,.349,118,272,.434,.455,62,75,.827,15,47,62,94,21,5,29,33,388
78,Trey Burke\burketr01,PG,26,DAL,8,0,120,23,52,.442,7,18,.389,16,34,.471,.510,12,14,.857,6,10,16,15,7,0,8,8,65
79,Alec Burks\burksal01,SG,27,TOT,57,24,1320,188,465,.404,61,165,.370,127,300,.423,.470,116,141,.823,29,196,225,122,33,20,63,86,553
79,Alec Burks\burksal01,SG,27,UTA,17,0,269,47,114,.412,16,43,.372,31,71,.437,.482,33,38,.868,2,25,27,20,6,4,15,22,143
79,Alec Burks\burksal01,SG,27,CLE,34,24,979,136,340,.400,45,119,.378,91,221,.412,.466,79,98,.806,26,160,186,98,25,16,46,62,396
79,Alec Burks\burksal01,SG,27,SAC,6,0,72,5,11,.455,0,3,.000,5,8,.625,.455,4,5,.800,1,11,12,4,2,0,2,2,14
80,Deonte Burton\burtode02,SG,25,OKC,22,0,197,28,64,.438,7,21,.333,21,43,.488,.492,6,8,.750,3,19,22,7,5,8,9,27,69
81,Jimmy Butler\butleji01,SF-SG,29,TOT,49,49,1640,325,682,.477,56,157,.357,269,525,.512,.518,228,264,.864,83,165,248,195,97,30,69,82,934
81,Jimmy Butler\butleji01,SG,29,MIN,10,10,361,74,157,.471,17,45,.378,57,112,.509,.525,48,61,.787,16,36,52,43,24,10,14,18,213
81,Jimmy Butler\butleji01,SF,29,PHI,39,39,1279,251,525,.478,39,112,.348,212,413,.513,.515,180,203,.887,67,129,196,152,73,20,55,64,721
82,Bruno Caboclo\cabocbr01,SF,23,MEM,14,2,279,29,76,.382,14,49,.286,15,27,.556,.474,14,14,1.000,12,34,46,12,6,16,10,37,86
83,Jose Calderon\caldejo01,PG,37,DET,46,0,621,45,118,.381,14,56,.250,31,62,.500,.441,9,11,.818,9,47,56,113,16,3,35,63,113
84,Kentavious Caldwell-Pope\caldwke01,SG,25,LAL,60,12,1423,206,480,.429,95,277,.343,111,203,.547,.528,94,110,.855,34,129,163,65,53,9,43,96,601
85,Isaiah Canaan\canaais01,PG,27,TOT,27,16,610,64,160,.400,34,93,.366,30,67,.448,.506,19,24,.792,5,50,55,83,14,1,33,50,181
85,Isaiah Canaan\canaais01,PG,27,PHO,19,15,503,51,129,.395,25,72,.347,26,57,.456,.492,15,20,.750,5,44,49,62,12,0,29,46,142
85,Isaiah Canaan\canaais01,PG,27,MIN,7,1,95,11,29,.379,7,19,.368,4,10,.400,.500,4,4,1.000,0,5,5,19,2,1,4,4,33
85,Isaiah Canaan\canaais01,PG,27,MIL,1,0,12,2,2,1.000,2,2,1.000,0,0,,1.500,0,0,,0,1,1,2,0,0,0,0,6
86,Clint Capela\capelca01,C,24,HOU,45,45,1531,331,524,.632,0,0,,331,524,.632,.632,109,174,.626,213,349,562,62,26,80,68,121,771
87,DeMarre Carroll\carrode01,SF,32,BRK,49,0,1261,162,422,.384,75,221,.339,87,201,.433,.473,141,188,.750,52,209,261,65,25,7,55,79,540
88,Jevon Carter\carteje01,PG,23,MEM,26,3,384,26,108,.241,13,56,.232,13,52,.250,.301,8,13,.615,5,30,35,45,21,8,22,40,73
89,Vince Carter\cartevi01,SF,42,ATL,56,8,873,132,306,.431,79,202,.391,53,104,.510,.560,27,40,.675,23,118,141,52,30,17,37,99,370
90,Wendell Carter\cartewe01,C,19,CHI,44,44,1110,180,371,.485,6,32,.188,174,339,.513,.493,89,112,.795,87,220,307,78,26,58,65,152,455
91,Michael Carter-Williams\cartemi01,PG,27,HOU,16,1,145,25,61,.410,7,19,.368,18,42,.429,.467,12,26,.462,3,10,13,21,9,6,10,27,69
92,Alex Caruso\carusal01,PG,24,LAL,6,0,21,2,4,.500,1,1,1.000,1,3,.333,.625,1,4,.250,1,0,1,1,0,2,0,3,6
93,Omri Casspi\casspom01,SF,30,MEM,36,0,520,86,161,.534,15,43,.349,71,118,.602,.581,39,58,.672,17,98,115,26,20,9,23,35,226
94,Willie Cauley-Stein\caulewi01,C,25,SAC,60,60,1671,319,590,.541,1,2,.500,318,588,.541,.542,109,200,.545,142,360,502,151,76,39,71,184,748
95,Troy Caupain\caupatr01,PG,23,ORL,2,0,9,2,4,.500,1,2,.500,1,2,.500,.625,0,0,,0,2,2,3,1,0,0,0,5
96,Tyler Cavanaugh\cavanty01,PF,24,UTA,8,0,19,2,6,.333,0,3,.000,2,3,.667,.333,2,2,1.000,1,3,4,0,0,0,1,0,6
97,Tyson Chandler\chandty01,C,36,TOT,51,6,839,59,97,.608,0,1,.000,59,96,.615,.608,48,81,.593,91,205,296,37,21,22,39,106,166
97,Tyson Chandler\chandty01,C,36,PHO,7,0,89,8,12,.667,0,0,,8,12,.667,.667,10,18,.556,7,32,39,6,2,1,7,21,26
97,Tyson Chandler\chandty01,C,36,LAL,44,6,750,51,85,.600,0,1,.000,51,84,.607,.600,38,63,.603,84,173,257,31,19,21,32,85,140
98,Wilson Chandler\chandwi01,PF,31,PHI,36,32,951,91,207,.440,46,118,.390,45,89,.506,.551,13,18,.722,44,124,168,72,22,18,39,94,241
99,Joe Chealey\chealjo01,PG,23,CHO,1,0,8,1,3,.333,0,0,,1,3,.333,.333,0,0,,0,0,0,1,0,0,0,1,2
100,Marquese Chriss\chrisma01,PF,21,TOT,23,1,242,38,91,.418,13,42,.310,25,49,.510,.489,15,20,.750,18,45,63,11,7,6,18,43,104
100,Marquese Chriss\chrisma01,PF,21,HOU,16,0,104,11,34,.324,1,15,.067,10,19,.526,.338,6,7,.857,7,21,28,6,2,4,12,17,29
100,Marquese Chriss\chrisma01,PF,21,CLE,7,1,138,27,57,.474,12,27,.444,15,30,.500,.579,9,13,.692,11,24,35,5,5,2,6,26,75
101,Gary Clark\clarkga01,PF,24,HOU,37,1,528,35,110,.318,29,100,.290,6,10,.600,.450,6,6,1.000,18,76,94,14,15,22,5,38,105
102,Ian Clark\clarkia01,SG,27,NOP,43,0,574,79,193,.409,34,98,.347,45,95,.474,.497,15,16,.938,6,48,54,49,10,4,38,57,207
103,Jordan Clarkson\clarkjo01,SG,26,CLE,60,0,1616,398,894,.445,112,338,.331,286,556,.514,.508,111,133,.835,62,145,207,147,43,12,105,87,1019
104,John Collins\collijo01,PF,21,ATL,45,43,1345,336,592,.568,42,112,.375,294,480,.613,.603,147,193,.762,160,271,431,90,14,18,92,147,861
105,Zach Collins\colliza01,C,21,POR,59,0,1052,144,303,.475,30,89,.337,114,214,.533,.525,76,98,.776,82,166,248,56,22,48,58,143,394
106,Darren Collison\collida01,PG,31,IND,61,61,1715,242,511,.474,65,156,.417,177,355,.499,.537,108,129,.837,28,152,180,364,87,8,97,109,657
107,Bonzie Colson\colsobo01,SF,23,MIL,1,0,3,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,0,0
108,Mike Conley\conlemi01,PG,31,MEM,59,59,1973,400,933,.429,125,357,.350,275,576,.477,.496,265,313,.847,38,164,202,375,83,20,113,97,1190
109,Pat Connaughton\connapa01,SG,26,MIL,39,1,670,88,204,.431,34,118,.288,54,86,.628,.515,15,22,.682,29,98,127,73,17,15,19,41,225
110,Quinn Cook\cookqu01,PG,25,GSW,52,8,723,135,305,.443,51,136,.375,84,169,.497,.526,15,20,.750,17,95,112,83,17,3,33,68,336
111,DeMarcus Cousins\couside01,C,28,GSW,14,14,342,69,157,.439,12,42,.286,57,115,.496,.478,57,73,.781,19,91,110,49,18,20,32,52,207
112,Robert Covington\covinro01,SF,28,TOT,35,35,1203,156,362,.431,85,225,.378,71,137,.518,.548,68,89,.764,28,165,193,46,74,47,47,126,465
112,Robert Covington\covinro01,SF,28,PHI,13,13,440,50,117,.427,30,77,.390,20,40,.500,.556,17,23,.739,7,60,67,14,24,23,22,45,147
112,Robert Covington\covinro01,SF,28,MIN,22,22,763,106,245,.433,55,148,.372,51,97,.526,.545,51,66,.773,21,105,126,32,50,24,25,81,318
113,Allen Crabbe\crabbal01,SG,26,BRK,35,15,910,116,313,.371,85,216,.394,31,97,.320,.506,36,48,.750,15,103,118,37,20,11,39,81,353
114,Torrey Craig\craigto01,SF,28,DEN,54,37,1186,122,282,.433,41,140,.293,81,142,.570,.505,33,51,.647,73,134,207,51,31,35,39,133,318
115,Jamal Crawford\crawfja01,SG,38,PHO,51,0,899,115,310,.371,42,142,.296,73,168,.435,.439,62,75,.827,7,56,63,169,24,10,76,60,334
116,Mitch Creek\creekmi01,SF,26,BRK,4,0,36,5,10,.500,0,1,.000,5,9,.556,.500,5,7,.714,5,5,10,5,1,0,0,3,15
117,Jae Crowder\crowdja01,SF,28,UTA,58,8,1601,232,583,.398,130,385,.338,102,198,.515,.509,111,159,.698,47,229,276,95,44,23,66,121,705
118,Dante Cunningham\cunnida01,PF,31,SAS,55,21,863,74,146,.507,30,61,.492,44,85,.518,.610,13,16,.813,46,135,181,48,24,13,21,67,191
119,Seth Curry\curryse01,SG,28,POR,54,2,932,127,283,.449,72,152,.474,55,131,.420,.576,17,19,.895,17,57,74,53,20,8,38,74,343
120,Stephen Curry\curryst01,PG,30,GSW,49,49,1683,466,960,.485,255,572,.446,211,388,.544,.618,206,224,.920,32,224,256,260,63,19,138,123,1393
121,Troy Daniels\danietr01,SG,27,PHO,31,0,405,64,150,.427,43,109,.394,21,41,.512,.570,13,17,.765,6,27,33,12,17,2,19,40,184
122,Anthony Davis\davisan02,C,25,NOP,47,47,1658,465,913,.509,41,129,.318,424,784,.541,.532,328,409,.802,148,445,593,195,76,118,91,118,1299
123,Ed Davis\davised01,C,29,BRK,61,1,1121,149,239,.623,0,2,.000,149,237,.629,.623,72,120,.600,172,357,529,51,29,27,53,173,370
124,Tyler Davis\davisty01,C,21,OKC,1,0,1,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,0,1,0,0,0,0,0,0
125,Dewayne Dedmon\dedmode01,C,29,ATL,51,40,1276,204,418,.488,65,171,.380,139,247,.563,.566,75,88,.852,84,279,363,70,51,58,73,173,548
126,Sam Dekker\dekkesa01,SF-PF,24,TOT,36,5,599,99,199,.497,13,42,.310,86,157,.548,.530,18,30,.600,41,80,121,33,31,7,17,36,229
126,Sam Dekker\dekkesa01,PF,24,CLE,9,5,169,22,48,.458,5,13,.385,17,35,.486,.510,8,10,.800,9,24,33,9,11,0,5,13,57
126,Sam Dekker\dekkesa01,SF,24,WAS,27,0,430,77,151,.510,8,29,.276,69,122,.566,.536,10,20,.500,32,56,88,24,20,7,12,23,172
127,Angel Delgado\delgaan01,C,24,LAC,1,0,14,1,4,.250,0,0,,1,4,.250,.250,1,2,.500,2,2,4,0,1,0,0,2,3
128,Matthew Dellavedova\dellama01,PG,28,TOT,44,0,741,91,219,.416,41,118,.347,50,101,.495,.509,40,50,.800,5,67,72,170,12,2,64,69,263
128,Matthew Dellavedova\dellama01,PG,28,MIL,12,0,97,6,19,.316,4,11,.364,2,8,.250,.421,4,4,1.000,0,10,10,29,2,0,11,9,20
128,Matthew Dellavedova\dellama01,PG,28,CLE,32,0,644,85,200,.425,37,107,.346,48,93,.516,.518,36,46,.783,5,57,62,141,10,2,53,60,243
129,Luol Deng\denglu01,SF,33,MIN,21,2,384,59,117,.504,14,43,.326,45,74,.608,.564,25,35,.714,19,53,72,18,14,8,14,23,157
130,DeMar DeRozan\derozde01,SG,29,SAS,57,57,2007,475,1014,.468,7,41,.171,468,973,.481,.472,276,333,.829,42,307,349,345,58,28,149,134,1233
131,Marcus Derrickson\derrima01,PF,22,GSW,9,0,54,10,24,.417,5,14,.357,5,10,.500,.521,3,4,.750,5,3,8,1,0,1,3,9,28
132,Cheick Diallo\diallch01,PF,22,NOP,44,0,521,94,147,.639,0,2,.000,94,145,.648,.639,37,51,.725,46,144,190,15,18,26,30,62,225
133,Hamidou Diallo\diallha01,SG,20,OKC,45,3,515,75,161,.466,4,23,.174,71,138,.514,.478,36,59,.610,37,57,94,17,20,10,23,75,190
134,Gorgui Dieng\dienggo01,C,29,MIN,57,0,762,124,251,.494,13,42,.310,111,209,.531,.520,58,66,.879,59,174,233,50,31,29,35,107,319
135,Spencer Dinwiddie\dinwisp01,PG,25,BRK,49,4,1399,275,596,.461,96,262,.366,179,334,.536,.542,198,249,.795,21,100,121,246,28,11,114,136,844
136,Donte DiVincenzo\divindo01,SG,22,MIL,23,0,358,42,107,.393,17,69,.246,25,38,.658,.472,9,11,.818,13,43,56,27,12,6,18,34,110
137,Luka Doncic\doncilu01,SG,19,DAL,56,56,1805,384,889,.432,138,391,.353,246,498,.494,.510,262,361,.726,62,343,405,317,57,16,187,104,1168
