Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alex Abrines\abrinal01,SG,25,OKC,31,2,588,56,157,.357,41,127,.323,15,30,.500,.487,12,13,.923,5,43,48,20,17,6,14,53,165
2,Quincy Acy\acyqu01,PF,28,PHO,10,0,123,4,18,.222,2,15,.133,2,3,.667,.278,7,10,.700,3,22,25,8,1,4,4,24,17
3,Jaylen Adams\adamsja01,PG,22,ATL,13,0,84,7,18,.389,6,12,.500,1,6,.167,.556,2,2,1.000,2,7,9,13,3,2,5,10,22
4,Steven Adams\adamsst01,C,25,OKC,58,58,1971,364,601,.606,0,1,.000,364,600,.607,.606,124,227,.546,263,282,545,97,92,44,96,148,852
5,Bam Adebayo\adebaba01,C,21,MIA,59,6,1289,172,305,.564,1,9,.111,171,296,.578,.566,118,162,.728,118,270,388,115,46,43,82,148,463
6,Deng Adel\adelde01,SF,21,CLE,12,3,158,9,30,.300,5,20,.250,4,10,.400,.383,2,2,1.000,2,11,13,4,1,4,5,11,25
7,DeVaughn Akoon-Purcell\akoonde01,SG,25,DEN,7,0,22,3,10,.300,0,4,.000,3,6,.500,.300,1,2,.500,1,3,4,6,2,0,2,4,7
8,LaMarcus Aldridge\aldrila01,C,33,SAS,61,61,1985,497,976,.509,5,25,.200,492,951,.517,.512,269,318,.846,190,353,543,153,31,76,114,136,1268
9,Rawle Alkins\alkinra01,SG,21,CHI,3,0,6,1,4,.250,1,1,1.000,0,3,.000,.375,0,0,,3,0,3,2,1,0,0,1,3
10,Grayson Allen\allengr01,SG,23,UTA,28,1,276,34,109,.312,19,69,.275,15,40,.375,.399,27,36,.750,1,10,11,17,4,3,16,30,114
11,Jarrett Allen\allenja01,C,20,BRK,60,60,1619,258,449,.575,6,39,.154,252,410,.615,.581,149,205,.727,152,370,522,90,35,95,82,139,671
12,Kadeem Allen\allenka01,SG,26,NYK,10,1,225,37,76,.487,8,16,.500,29,60,.483,.539,19,26,.731,5,24,29,45,8,1,11,26,101
13,Al-Farouq Aminu\aminual01,PF,28,POR,60,60,1742,190,432,.440,77,213,.362,113,219,.516,.529,112,131,.855,88,381,469,79,52,23,47,113,569
14,Justin Anderson\anderju01,SF,25,ATL,32,0,249,33,87,.379,8,40,.200,25,47,.532,.425,16,21,.762,11,34,45,12,11,7,13,28,90
15,Kyle Anderson\anderky01,SF,25,MEM,43,40,1281,150,276,.543,9,34,.265,141,242,.583,.560,37,64,.578,48,203,251,128,54,37,58,112,346
16,Ryan Anderson\anderry01,PF,30,TOT,18,8,290,21,62,.339,9,36,.250,12,26,.462,.411,11,14,.786,14,31,45,18,3,1,13,24,62
16,Ryan Anderson\anderry01,PF,30,PHO,15,8,278,19,60,.317,7,34,.206,12,26,.462,.375,11,14,.786,14,31,45,17,3,1,12,23,56
16,Ryan Anderson\anderry01,PF,30,MIA,3,0,12,2,2,1.000,2,2,1.000,0,0,,1.500,0,0,,0,0,0,1,0,0,1,1,6
17,Ike Anigbogu\anigbik01,C,20,IND,3,0,6,0,3,.000,0,0,,0,3,.000,.000,0,0,,1,2,3,1,0,1,1,0,0
18,Giannis Antetokounmpo\antetgi01,PF,24,MIL,55,55,1827,551,949,.581,33,136,.243,518,813,.637,.598,362,503,.720,127,569,696,330,77,80,211,184,1497
19,Carmelo Anthony\anthoca01,PF,34,HOU,10,2,294,49,121,.405,21,64,.328,28,57,.491,.492,15,22,.682,9,45,54,5,4,7,8,32,134
20,OG Anunoby\anunoog01,SF,21,TOR,51,6,1036,143,322,.444,57,164,.348,86,158,.544,.533,19,42,.452,39,117,156,34,33,12,36,109,362
21,Ryan Arcidiacono\arcidry01,PG,24,CHI,60,26,1479,113,272,.415,64,176,.364,49,96,.510,.533,51,56,.911,14,129,143,215,55,2,47,128,341
22,Trevor Ariza\arizatr01,SF,33,TOT,56,56,1984,243,615,.395,120,363,.331,123,252,.488,.493,100,126,.794,38,273,311,217,83,14,90,107,706
22,Trevor Ariza\arizatr01,SF,33,PHO,26,26,884,86,227,.379,50,139,.360,36,88,.409,.489,36,43,.837,16,129,145,87,38,8,39,44,258
22,Trevor Ariza\arizatr01,SF,33,WAS,30,30,1100,157,388,.405,70,224,.313,87,164,.530,.495,64,83,.771,22,144,166,130,45,6,51,63,448
23,D.J. Augustin\augusdj01,PG,31,ORL,61,61,1689,226,477,.474,101,229,.441,125,248,.504,.580,145,170,.853,31,109,140,303,35,1,95,87,698
24,Deandre Ayton\aytonde01,C,20,PHO,56,55,1732,403,685,.588,0,4,.000,403,681,.592,.588,112,148,.757,176,411,587,107,46,50,99,159,918
25,Dwayne Bacon\bacondw01,SG,23,CHO,25,0,265,44,84,.524,13,25,.520,31,59,.525,.601,10,12,.833,3,36,39,17,3,1,12,28,111
26,Marvin Bagley\baglema01,PF,19,SAC,46,2,1147,246,480,.513,16,60,.267,230,420,.548,.529,135,194,.696,112,219,331,46,27,47,76,96,643
27,Ron Baker\bakerro01,SG,25,TOT,15,0,152,4,20,.200,1,13,.077,3,7,.429,.225,5,6,.833,1,10,11,15,6,1,5,18,14
27,Ron Baker\bakerro01,SG,25,NYK,11,0,107,4,16,.250,1,9,.111,3,7,.429,.281,5,6,.833,1,6,7,13,5,0,3,16,14
27,Ron Baker\bakerro01,SG,25,WAS,4,0,45,0,4,.000,0,4,.000,0,0,,.000,0,0,,0,4,4,2,1,1,2,2,0
28,Wade Baldwin\baldwwa01,PG,22,POR,16,0,94,10,33,.303,2,9,.222,8,24,.333,.333,8,11,.727,2,13,15,12,1,2,14,11,30
29,Lonzo Ball\balllo01,PG,21,LAL,47,45,1423,185,456,.406,75,228,.329,110,228,.482,.488,20,48,.417,54,197,251,255,69,19,103,114,465
30,Mohamed Bamba\bambamo01,C,20,ORL,47,1,766,117,243,.481,21,70,.300,96,173,.555,.525,37,63,.587,64,169,233,39,13,64,43,102,292
31,J.J. Barea\bareajo01,PG,34,DAL,38,0,752,161,385,.418,38,128,.297,123,257,.479,.468,55,78,.705,13,82,95,211,22,1,72,50,415
32,Harrison Barnes\barneha02,PF-SF,26,TOT,55,55,1793,311,783,.397,128,341,.375,183,442,.414,.479,178,214,.832,43,202,245,77,41,11,74,90,928
32,Harrison Barnes\barneha02,PF,26,DAL,49,49,1584,290,717,.404,121,311,.389,169,406,.416,.489,165,198,.833,36,171,207,62,33,11,68,79,866
32,Harrison Barnes\barneha02,SF,26,SAC,6,6,209,21,66,.318,7,30,.233,14,36,.389,.371,13,16,.813,7,31,38,15,8,0,6,11,62
33,Will Barton\bartowi01,SG,28,DEN,21,16,564,93,223,.417,32,89,.360,61,134,.455,.489,35,43,.814,18,72,90,73,7,10,30,45,253
